path,size_mb,rows,cols_declared,cols_recovered,overall_missing_pct,integrity,confidence
common-data/SingCLoud/FreeText_FTA/VW_EVENT_DIAGNOSIS_F_Export_31-07-2024_P6.csv,904.57,3572090,33,33,54.09,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_LABORATORY_F_Export_26-07-2024_P1.csv,1539.97,5008403,23,23,22.65,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_LABORATORY_F_Export_26-07-2024_P10.csv,1359.36,4386097,23,23,21.53,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_LABORATORY_F_Export_26-07-2024_P11.csv,1344.42,4341298,23,23,21.72,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_LABORATORY_F_Export_26-07-2024_P12.csv,1362.31,4398438,23,22,21.67,short,two-pass
common-data/SingCLoud/FreeText_FTA/VW_LABORATORY_F_Export_26-07-2024_P18.csv,1478.55,4691646,23,23,20.4,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_LABORATORY_F_Export_26-07-2024_P19.csv,1463.34,4569232,23,23,18.71,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_LABORATORY_F_Export_26-07-2024_P2.csv,1791.8,5862470,23,23,23.54,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_LABORATORY_F_Export_26-07-2024_P21.csv,1410.64,4396862,23,23,18.88,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_LABORATORY_F_Export_26-07-2024_P22.csv,1320.96,4058904,23,24,18.19,over,two-pass
common-data/SingCLoud/FreeText_FTA/VW_LABORATORY_F_Export_26-07-2024_P4.csv,1141.3,3725410,23,23,22.93,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_LABORATORY_F_Export_26-07-2024_P7.csv,1287.94,4181669,23,23,22.71,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_LABORATORY_ITEM_FIL_F_Export_28-07-2024_P1.csv,2189.77,8970688,16,16,7.96,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_LABORATORY_ITEM_FIL_F_Export_28-07-2024_P2.csv,1323.26,5421906,16,159,8.04,over,two-pass
common-data/SingCLoud/FreeText_FTA/VW_NUHCS_ECHO_D_Export_22-07-2024.csv,541.64,270906,371,361,3.36,short,two-pass
common-data/SingCLoud/FreeText_FTA/VW_NUHCS_NUC_D_Export_22-07-2024.csv,161.13,63656,191,182,14.87,short,two-pass
common-data/SingCLoud/FreeText_FTA/VW_NUHCS_PCI_D_Export_22-07-2024.csv,823.1,230968,286,285,39.34,short,two-pass
common-data/SingCLoud/FreeText_FTA/VW_NUHS_HFSI_F_Export_30-10-2024.csv,59.57,47805,575,556,68.49,short,two-pass
common-data/SingCLoud/FreeText_FTA/VW_NUH_CABG_09_21_D_Export_22-07-2024.csv,7.71,5007,186,186,13.72,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_PATIENT_OCCUPATION_D_Export:_06-08-2024.csv,133.7,849308,11,11,18.09,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_RADIOLOGY_F_Export_06-08-2024.csv,2611.79,6569893,28,28,13.1,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_SCDB_HF_F_Export_22-87-2024.csv,41.07,48629,174,177,24.44,over,two-pass
